Date	Distance	Calories	Time	Avg Pace
2/25/2020 10:13	1.09	92	0:10:53	9:56
4/6/2019 15:44	2.04	154	0:17:50	8:43
4/2/2019 16:19	3.01	243	0:28:14	9:23
4/1/2019 16:49	3.03	239	0:27:27	9:03
3/28/2019 17:27	3.07	230	0:27:32	8:57
3/25/2019 11:39	1.83	158	0:16:50	9:13
3/23/2019 18:31	2.54	214	0:21:02	8:17
3/19/2019 17:03	2.05	155	0:16:53	8:15
3/18/2019 19:29	2.03	126	0:17:41	8:42
3/16/2019 13:24	2.04	176	0:18:33	9:05
3/14/2019 17:36	2.04	130	0:19:20	9:28
11/4/2018 11:59	2.05	163	0:16:51	8:13
10/22/2018 17:08	2.98	204	0:24:25	8:12
10/16/2018 17:11	3.69	228	0:28:43	7:47
10/12/2018 16:17	2.95	135	0:23:25	7:57
10/9/2018 16:52	2.94	225	0:26:42	9:05
10/4/2018 17:41	2.04	155	0:17:13	8:26
9/27/2018 18:33	2.03	137	0:16:28	8:05
9/26/2018 18:44	2.03	129	0:16:44	8:15
9/25/2018 18:29	2.04	144	0:16:23	8:01
9/24/2018 18:32	2.04	139	0:16:41	8:11
9/21/2018 18:51	2.05	143	0:17:17	8:26
9/6/2018 18:20	2.06	151	0:19:16	9:21
9/5/2018 17:36	2.06	163	0:17:57	8:44
9/1/2018 9:55	2.33	189	0:20:29	8:48
8/31/2018 17:31	2.05	152	0:17:08	8:21
8/30/2018 17:50	2.06	150	0:17:03	8:16
8/29/2018 17:06	2.05	151	0:17:28	8:32
8/4/2018 19:40	2.93	231	0:27:41	9:26
7/28/2018 10:13	3.68	304	0:33:17	9:02
7/27/2018 18:59	3.01	210	0:23:18	7:44
7/25/2018 17:35	2.21	173	0:21:04	9:31
7/12/2018 7:09	4.02	254	0:36:04	8:58
7/11/2018 21:27	2.05	132	0:17:51	8:43
7/10/2018 17:07	3	261	0:29:12	9:44
6/29/2018 7:04	3.01	229	0:26:47	8:54
6/28/2018 16:54	3.01	241	0:28:02	9:19
6/26/2018 17:06	2.18	162	0:21:07	9:42
6/9/2018 7:30	3.14	214	0:22:39	7:13
6/5/2018 20:52	3.17	235	0:26:31	8:21
6/4/2018 21:04	2.04	150	0:17:27	8:32
6/3/2018 19:56	3.16	221	0:25:49	8:11
6/2/2018 10:26	3.56	242	0:30:29	8:34
5/31/2018 17:31	4.43	360	0:39:15	8:52
5/26/2018 9:47	3.3	273	0:31:28	9:32
5/20/2018 18:01	4.41	312	0:38:07	8:38
5/19/2018 19:26	2.61	192	0:23:31	9:01
5/16/2018 17:55	4.26	317	0:34:45	8:10
5/15/2018 17:29	3.12	233	0:25:16	8:05
5/8/2018 17:40	2.05	155	0:18:13	8:54
5/7/2018 16:58	2.95	201	0:26:15	8:54
5/5/2018 12:14	3.44	268	0:29:08	8:28
5/2/2018 17:07	3.42	275	0:30:31	8:56
4/27/2018 17:21	3.18	229	0:26:30	8:20
4/26/2018 17:36	4.44	334	0:37:18	8:24
4/24/2018 18:10	3.18	207	0:28:31	8:58
4/23/2018 16:15	3.02	234	0:26:00	8:37
